Team,P,W,D,L,GF,GA,GD,Pts
Bayern Munich,34,21,9,4,108,70,38,72
Stuttgart,34,18,5,11,76,61,15,59
Ein Frankfurt,34,15,8,11,62,51,11,53
Freiburg,34,16,5,13,57,54,3,53
Bochum,34,15,8,11,37,34,3,53
Heidenheim,34,13,13,8,52,46,6,52
M'gladbach,34,14,9,11,62,51,11,51
Mainz,34,13,9,12,60,62,-2,48
Leverkusen,34,13,7,14,67,69,-2,46
RB Leipzig,34,12,9,13,57,68,-11,45
Holstein Kiel,34,12,8,14,41,51,-10,44
Wolfsburg,34,11,10,13,59,61,-2,43
Werder Bremen,34,11,10,13,50,55,-5,43
Dortmund,34,12,5,17,62,67,-5,41
Hoffenheim,34,10,10,14,42,47,-5,40
Augsburg,34,11,6,17,47,54,-7,39
Union Berlin,34,9,10,15,52,59,-7,37
St Pauli,34,5,9,20,25,56,-31,24
